id,host_since,accommodates,bathrooms,bedrooms,beds,bed_type,first_review,instant_bookable,cancellation_policy
9835,2009-08-21,2,1,1,2,Real Bed,2011-05-24,f,strict_14_with_grace_period
10803,2009-09-16,2,1,1,1,Futon,2013-01-12,t,moderate
12936,2009-10-31,3,1,1,2,Real Bed,2010-08-04,f,strict_14_with_grace_period
15246,2009-12-03,1,1.5,1,1,Real Bed,2010-12-31,f,moderate
16760,2009-12-22,2,1,1,2,Real Bed,2011-12-10,f,moderate
38271,2010-07-12,5,1,3,3,Real Bed,2010-11-24,f,flexible
41836,2010-07-27,2,1,1,1,Real Bed,2010-11-16,f,strict_14_with_grace_period
43414,2010-08-03,2,1,1,1,Real Bed,2018-01-28,f,moderate
43429,2010-08-03,2,1,1,1,Real Bed,2010-12-05,t,moderate
44082,2010-08-06,2,1,1,1,Real Bed,2011-02-11,f,moderate
47100,2010-08-24,2,1,1,1,Real Bed,2010-09-09,f,strict_14_with_grace_period
50492,2009-10-31,4,1,2,2,Real Bed,2012-11-30,f,strict_14_with_grace_period
51592,2010-08-04,4,1.5,1,2,Real Bed,2011-02-22,f,strict_14_with_grace_period
58055,2010-11-03,2,1,1,4,Real Bed,2011-02-06,f,moderate
62606,2010-11-03,2,1,1,4,Real Bed,2011-03-05,f,moderate
65432,2010-11-03,1,1,1,1,Real Bed,2011-02-12,f,flexible
66754,2009-10-31,4,1,1,2,Real Bed,2011-03-08,f,strict_14_with_grace_period
67211,2010-12-25,1,1,1,1,Real Bed,2011-02-13,f,flexible
68036,2011-01-05,2,1.5,1,1,Real Bed,2011-07-20,f,moderate
68411,2011-01-03,7,2.5,4,5,Pull-out Sofa,,f,flexible
68482,2009-12-03,4,1.5,3,3,Real Bed,2014-01-06,f,strict_14_with_grace_period
69421,2011-01-14,4,1,1,2,Real Bed,2016-01-10,f,strict_14_with_grace_period
70004,2010-08-06,1,1,1,1,Real Bed,2014-02-22,f,moderate
70328,2011-01-21,2,1,1,1,Real Bed,2011-03-17,f,strict_14_with_grace_period
71156,2010-12-14,3,1,1,1,Real Bed,2017-12-26,f,strict_14_with_grace_period
72576,2011-02-04,2,1,1,1,Real Bed,2011-04-05,t,strict_14_with_grace_period
74324,2011-02-13,5,1,2,2,Real Bed,2015-05-17,f,moderate
74548,2011-02-15,1,2,1,1,Real Bed,2011-03-12,f,strict_14_with_grace_period
74715,2011-02-15,2,1,1,1,Futon,2011-03-29,f,moderate
74959,2011-02-17,2,2.5,1,1,Real Bed,2011-06-04,f,moderate
76867,2011-02-26,2,1.5,1,1,Real Bed,2011-03-16,f,strict_14_with_grace_period
78143,2011-03-03,2,1,2,2,Real Bed,2011-06-07,f,moderate
80986,2009-10-31,3,1,1,2,Real Bed,2011-10-10,f,strict_14_with_grace_period
86369,2010-09-27,2,1,1,1,Real Bed,2017-11-30,f,strict_14_with_grace_period
108032,2011-05-05,2,1,1,1,Real Bed,2011-06-13,t,strict_14_with_grace_period
111001,2011-05-09,2,1,1,1,Real Bed,2011-10-13,t,strict_14_with_grace_period
120487,2011-05-20,4,1,1,2,Real Bed,2011-10-21,f,moderate
126723,2011-05-26,3,1,1,2,Real Bed,2013-05-21,f,moderate
133617,2011-05-31,2,2,1,2,Real Bed,2011-11-30,f,flexible
136510,2011-06-05,2,2,1,1,Real Bed,2017-11-21,f,moderate
144236,2011-06-14,2,,1,1,Real Bed,,f,strict_14_with_grace_period
150729,2011-02-04,2,1,1,1,Real Bed,2011-07-25,t,strict_14_with_grace_period
156482,2011-06-16,10,1,3,5,Real Bed,2012-02-01,t,strict_14_with_grace_period
157427,2011-06-18,2,1,1,1,Real Bed,2011-11-15,f,moderate
161033,2011-07-03,2,1,1,1,Real Bed,2011-08-30,f,flexible
161404,2011-07-03,6,3,3,5,Real Bed,2017-09-29,t,moderate
163077,2009-10-31,3,1,1,2,Real Bed,2011-10-10,f,strict_14_with_grace_period
167067,2011-07-09,2,1,1,1,Real Bed,2011-09-18,f,moderate
171291,2011-04-12,2,1,1,1,Real Bed,2015-10-25,t,moderate
173426,2011-07-11,1,1.5,1,1,Real Bed,2011-08-24,f,moderate
189128,2011-06-06,2,1,1,1,Real Bed,2012-12-02,f,flexible
189293,2010-07-27,2,1,1,1,Real Bed,2017-05-07,t,moderate
189406,2011-08-03,3,1,1,2,Real Bed,2012-06-12,f,strict_14_with_grace_period
189434,2011-08-03,3,1,1,2,Real Bed,2012-12-08,f,strict_14_with_grace_period
210568,2011-08-30,2,2,1,1,Real Bed,2011-11-12,t,flexible
213348,2011-06-11,1,1,1,1,Real Bed,2016-10-31,f,strict_14_with_grace_period
214565,2011-09-04,2,1,1,1,Real Bed,,f,flexible
215787,2011-06-14,2,1,1,1,Real Bed,2011-12-29,t,strict_14_with_grace_period
227028,2011-09-20,3,1,2,2,Real Bed,2012-03-18,f,moderate
227964,2011-09-15,1,1,1,1,Real Bed,2011-12-16,f,flexible
229430,2011-09-23,1,1,1,1,Real Bed,2011-11-29,f,strict_14_with_grace_period
230790,2011-09-22,10,6,5,10,Real Bed,2014-09-19,f,strict_14_with_grace_period
232088,2011-09-27,5,2,2,5,Real Bed,2012-03-11,f,strict_14_with_grace_period
232812,2011-08-10,2,2,2,2,Real Bed,2011-10-25,f,flexible
234407,2011-09-29,2,1,1,1,Futon,2011-10-25,t,strict_14_with_grace_period
240410,2011-10-07,3,1,1,2,Real Bed,2012-07-30,f,strict_14_with_grace_period
241263,2011-10-28,2,1,1,1,Real Bed,2012-02-02,f,moderate
244872,2011-05-19,1,0.5,1,1,Real Bed,,f,flexible
244952,2010-11-15,3,1,1,1,Real Bed,2011-11-02,f,moderate
246337,2011-10-14,1,1,1,1,Real Bed,2012-03-18,f,moderate
247006,2011-04-27,2,1,1,1,Real Bed,2011-11-05,t,moderate
247140,2011-10-16,4,2,2,0,Real Bed,2011-11-14,f,strict_14_with_grace_period
248235,2011-10-17,8,3,5,6,Real Bed,2013-01-04,t,strict_14_with_grace_period
252381,2009-10-31,3,1,1,2,Real Bed,2012-01-11,f,strict_14_with_grace_period
256186,2011-10-28,5,1,2,5,Real Bed,2012-01-18,f,strict_14_with_grace_period
257149,2011-04-12,5,1,2,3,Real Bed,2011-12-26,f,strict_14_with_grace_period
257915,2011-05-09,16,6,10,16,Real Bed,2012-03-04,f,strict_14_with_grace_period
261558,2011-11-05,1,1,1,1,Real Bed,2016-09-16,f,strict_14_with_grace_period
262020,2011-11-05,2,1,1,1,Real Bed,2012-01-31,f,strict_14_with_grace_period
263871,2011-11-08,2,1,1,1,Real Bed,2013-02-02,f,strict_14_with_grace_period
267678,2011-11-13,2,1,1,1,Real Bed,2011-12-23,t,strict_14_with_grace_period
268525,2011-09-19,1,1.5,1,1,Real Bed,,f,moderate
268620,2011-11-15,1,,1,,Real Bed,,f,flexible
268849,2011-11-15,6,1,1,1,Real Bed,2011-12-14,f,moderate
277605,2011-11-28,4,2,2,4,Real Bed,2012-03-01,f,strict_14_with_grace_period
280698,2009-10-31,5,1.5,2,3,Real Bed,2017-12-02,f,strict_14_with_grace_period
283257,2011-12-05,6,2,3,4,Real Bed,2014-11-09,f,strict_14_with_grace_period
284210,2011-12-07,2,1,1,1,Real Bed,2014-04-21,f,moderate
286460,2011-12-10,1,,1,1,Real Bed,,f,strict_14_with_grace_period
289467,2011-11-28,4,2,2,4,Real Bed,2015-07-06,f,strict_14_with_grace_period
297350,2011-12-25,10,1.5,1,5,Real Bed,2012-01-26,f,moderate
300679,2011-12-14,2,2,1,1,Real Bed,2012-05-08,f,strict_14_with_grace_period
304910,2012-01-05,2,2,1,2,Real Bed,2012-01-30,f,strict_14_with_grace_period
307615,2012-01-08,2,2.5,1,1,Real Bed,2012-01-20,f,strict_14_with_grace_period
307630,2012-01-08,2,2.5,1,1,Real Bed,2012-02-11,f,strict_14_with_grace_period
309093,2011-10-29,5,2.5,2,2,Real Bed,,t,moderate
310594,2012-01-12,2,1,1,1,Real Bed,2012-01-23,f,moderate
313648,2012-01-16,3,1,1,1,Real Bed,2012-03-10,f,strict_14_with_grace_period
315513,2011-12-25,4,1.5,1,2,Real Bed,2012-02-04,f,moderate
317239,2012-01-19,2,1,1,1,Real Bed,,f,strict_14_with_grace_period
317351,2011-06-20,4,1,2,3,Real Bed,2012-07-30,t,moderate
323280,2012-01-15,1,1,1,1,Real Bed,2012-05-11,f,strict_14_with_grace_period
331605,2011-05-09,7,2,3,7,Real Bed,2012-09-03,t,strict_14_with_grace_period
334891,2012-02-06,1,,1,1,Real Bed,2015-03-13,f,moderate
344458,2012-02-06,5,2,2,3,Real Bed,2012-11-19,t,strict_14_with_grace_period
353243,2012-02-21,2,0,1,1,Real Bed,,f,flexible
357740,2012-02-26,4,1,1,2,Real Bed,2015-10-05,f,flexible
361613,2011-10-14,2,1,1,2,Real Bed,2013-01-21,f,moderate
363060,2012-03-01,2,1,1,1,Real Bed,,f,moderate
363278,2012-03-01,1,1,1,1,Real Bed,2012-07-22,f,strict_14_with_grace_period
365832,2012-03-03,5,1,2,2,Real Bed,2012-03-14,f,strict_14_with_grace_period
366848,2012-03-03,2,1,1,1,Real Bed,2012-03-22,f,moderate
376421,2012-03-09,2,1,1,1,Real Bed,2014-04-28,t,flexible
381690,2012-03-13,4,1,2,2,Real Bed,2012-11-07,f,flexible
386252,2011-02-07,1,,1,,Real Bed,,f,flexible
394600,2011-04-05,2,1,1,1,Real Bed,2012-04-20,t,flexible
397285,2012-02-06,5,2,2,3,Real Bed,2015-04-30,t,strict_14_with_grace_period
402105,2012-02-06,7,2,3,5,Real Bed,2013-06-29,t,strict_14_with_grace_period
403580,2012-03-26,2,1,1,1,Real Bed,2012-07-02,f,moderate
403876,2012-03-26,2,1,1,1,Real Bed,2012-10-02,t,strict_14_with_grace_period
406997,2012-03-28,2,1,1,1,Real Bed,2012-05-01,t,strict_14_with_grace_period
411059,2011-11-23,2,1,1,1,Real Bed,2012-05-02,f,moderate
414093,2012-02-06,7,2,3,4,Real Bed,2013-12-17,t,strict_14_with_grace_period
415776,2012-04-04,2,1,1,1,Real Bed,2012-09-01,f,moderate
419490,2012-04-04,4,1,2,3,Real Bed,2012-09-19,f,strict_14_with_grace_period
