id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,collect_date
9835,33057,Manju,Manningham,-37.77268393,145.0921328,Private room,60,1,4,12/09/15,0.04,1,365,2018-12-07
10803,38901,Lindsay,Moreland,-37.76650512,144.9807361,Private room,35,3,108,26/11/18,1.5,1,213,2018-12-07
12936,50121,Frank & Vince,Port Phillip,-37.85975502,144.9773691,Entire home/apt,159,3,15,7/11/18,0.15,17,326,2018-12-07
15246,59786,Eleni,Darebin,-37.75897072,144.9892279,Private room,50,2,29,15/05/17,0.3,3,0,2018-12-07
16760,65090,Colin,Port Phillip,-37.8645303,144.9922379,Private room,69,1,63,22/11/18,0.74,1,328,2018-12-07
38271,164193,Daryl,Casey,-38.05725414,145.3393561,Entire home/apt,98,1,112,1/12/18,1.14,1,328,2018-12-07
41836,182833,Diana,Darebin,-37.69729418,145.0008156,Private room,50,7,159,22/08/18,1.62,3,0,2018-12-07
43414,189682,Belinda,Melbourne,-37.81026723,144.98592,Private room,100,1,3,5/11/18,0.29,1,11,2018-12-07
43429,189684,Allan,Monash,-37.899601,145.1144745,Entire home/apt,98,2,168,3/12/18,1.72,1,310,2018-12-07
44082,193031,Vicki,Frankston,-38.14932045,145.1415689,Private room,60,3,28,13/10/18,0.29,5,310,2018-12-07
47100,212071,Loren,Yarra,-37.81803739,145.0044164,Entire home/apt,98,4,176,1/11/18,1.75,4,22,2018-12-07
50492,50121,Frank & Vince,Port Phillip,-37.86127469,144.9803786,Entire home/apt,190,3,44,2/12/18,0.6,17,316,2018-12-07
51592,190879,Michelle,Melbourne,-37.81485579,144.9626716,Entire home/apt,228,2,196,1/12/18,2.07,1,331,2018-12-07
58055,277353,Loretta,Bayside,-37.92959204,145.0256775,Private room,46,2,18,22/10/18,0.19,3,278,2018-12-07
62606,277353,Loretta,Bayside,-37.92817275,145.025176,Private room,50,2,21,29/11/18,0.22,3,328,2018-12-07
65432,277353,Loretta,Bayside,-37.9297903,145.0254793,Private room,43,2,42,22/08/18,0.44,3,337,2018-12-07
66754,50121,Frank & Vince,Yarra,-37.8209164,144.9938393,Entire home/apt,138,3,43,11/11/18,0.46,17,324,2018-12-07
67211,326880,Kate,Boroondara,-37.8036186,145.0338957,Private room,42,2,146,29/11/18,1.53,1,330,2018-12-07
68036,336319,Andre,Yarra,-37.80311551,144.9766031,Entire home/apt,161,5,27,22/01/18,0.3,1,128,2018-12-07
68411,334095,Alec,Bayside,-37.93205877,145.0146028,Entire home/apt,300,1,0,,,1,0,2018-12-07
68482,59786,Eleni,Darebin,-37.75861028,144.9892774,Entire home/apt,140,5,5,6/01/16,0.08,3,0,2018-12-07
69421,347754,Wendy,Yarra,-37.7878413,145.0054789,Entire home/apt,180,2,1,10/01/16,0.03,1,365,2018-12-07
70004,193031,Vicki,Frankston,-38.14930782,145.1418968,Private room,60,2,26,23/04/18,0.45,5,343,2018-12-07
